's	103_198_291_324_587_625_707_752_793
,	56_66_76_123_142_168_224_226_236_260_312_322_328_442_448_479_484_601_607
.	33_50_61_81_101_117_138_185_193_211_233_240_272_297_319_340_362_374_389_416_430_438_470_500_506_524_530_559_580_598_620_628_637_651_666_691_710_746_767_776_798_821_837_842
11	810
11,000	727
1600	363
20	453
2011	441
2014	100
24	565
45	230
6	149
600,000	830
a	20_30_79_127_155_159_204_252_268_341_348_390_410_609_631_692_697_758_761_805
about	148
abu	605
academic	287
accuse	714_814
across	245
actively	654
after	405_760_781_812
again	60
against	207_295_337_701
ago	232_415
ahead	95
airstrike	615
alberta	357
allegation	85
also	172_602
ancient	543
and	58_64_74_151_228_267_286_365_445_473_491_659_680_689_808
announce	784
antonio	712
any	744
appeal	206_300
army	788
arrest	809
as	247_422_511_604_739
asia	433
attack	492
attorney	626
australia	624_665_679
australian	582_643_671
back	163_488_673
bangladesh	197_246_323
base	77_108
bbc	9_102_529_838
be	11_46_52_72_107_115_145_154_178_187_215_243_274_307_310_315_358_372_384_420_454_509_515_550_594_608_623_630_639_653_668_755_770
beauty	806
because	513
before	22
believe	68
between	833
both	501_656_687
brandis	622
brawl	762
brazilian	2
break	779
broadcast	569
budget	93
building	367
but	169_485
call	729
canadian	354
carry	333
chance	160
channel	563
city	382_395_545_579_734
clemency	302
come	162_487
complaint	700
conceal	89
conductor	536
continue	359
convict	216_275
corruption	699
could	314
country	290_586_792
court	250_391
crime	221
customer	813
dangerous	589_642
daniel	104
day	318
death	209
decision	339
deficit	94
deny	84_743
destroy	373
dhaka	235
die	502
dilma	4_133
do	520
dollar	832
domestic	661
double	411
during	288_763
duterte	717_737
early	452
east	650_677
editor	434
effort	16
election	709
emergency	351
employee	731
encouraging	660
enrich	719
estimate	378
even	44
event	571_663
face	173
female	428_459
fernandez	447_474
fight	41
fighting	778
file	696
final	205
find	406
fire	344
flame	388
for	147_191_217_301_517_757_773
former	269_794
fort	369
four	400_413
fraudulent	818
friday	619
friend	429_449_460_495
from	48_136_181_234_303_527_554_573_674_721_790
front-runner	703
gallas	105
general	627
genocide	223
george	621
gergiev	538
get	131
ghost	730
go	53
good	190
government	270_583_783
grant	311
group	558
guilty	408
hail	510
half	380
hand	254
hang	316
happen	141
harass	467
have	6_158_202_242_329_346_371_383_398_593_695_754
he	218_273_299_313_638_652_667
head	195_261
hero	512
high	634
himself	720
hold	29_771
home	364
hong	799
hopeful	742
i	65
if	139
illegal	75
illegally	88
illegitimate	73
impeachment	31_70
important	633
imprisonment	404
in	99_109_120_165_220_317_352_368_392_439_450_456_541_577_596_612_616_647_657_664_681_686_704_732
include	222_284
independence	294
indian	394
injury	505
innocent	13
intellectual	283
intend	38
intervene	475
into	678_683
