''	358
's	22_206_260_266_274_340_618
,	16_82_117_128_131_224_234_281_421_425_513_607_621_655_665_692_694_696_777_788_826_834
.	58_69_77_95_107_123_138_160_185_193_199_220_241_264_295_327_348_369_378_390_418_438_442_465_474_490_507_528_532_543_569_584_594_604_632_650_682_701_718_735_764_798_820_845_863_866
11	166
170,000	436
2002	184
50	3
52-year	371
68-year-old	847
94	424
``	355
a	13_161_226_246_250_332_349_370_391_406_430_519_576_670_687_722_811
accessory	431
accuse	427_578
action	45
aday	833
administration	21
affect	761
african	699
after	575_651
against	46
age	525
agenda	712
all	118_660
allow	559
also	768
america	746
american	103_800
americans	700
among	242
and	33_85_229_237_282_315_335_454_485_501_526_657_698_744_754_779_802
announce	398
anti-doping	592
anyone	473
around	119_742
arrest	376
arrive	451
as	319_359_449_486_840
asad	51
ashamed	497
at	409_452
athlete	561
athletics	549
atlantic	733
atlas	737
attack	361
attacker	353
august	568
auschwitz	411_453
back	365
basically	72
bat	853
bbc	542_864
be	8_66_71_79_97_109_126_141_145_189_201_209_235_245_272_284_286_298_313_344_375_380_395_423_426_429_467_479_496_510_515_534_571_588_602_636_830
because	522
behind	302
bernie	605
bigotry	676
body	546
britain	356
british	296
burn	238
but	139_475
by	28_211_216
camp	413
campaign	336_368_681
can	684
canada	819
cancel	857
candidate	629_642_673
career	80
carry	708
case	208
cause	331
ceasefire	56
century	652
chamber	464
change	757
city	815
claim	444
clean	589
climate	763
clinton	631
collapse	807
communal	176
compete	563
concentration	412
concert	812
constituency	323
contest	612
cornerstone	678
correspondent	65
could	782
country	259_664
court	162_213_219_392
cox	311_363
criticize	18_287
current	267_759
damascus	106
daunt	147
death	240
decide	556_598
deep	731_774_786
defendant	188
democratic	616_716
department	6_75_122
desk	94
detail	198
diplomat	81
discrimination	658
do	289_502_603_667
donald	643
doping	583
due	396_860
during	810
ecosystem	753
edmonton	817
embassy	104
employee	76
enough	600
escort	457
eu	341
europe	743
evidence	469
explore	751
extraction	781
eyewitness	350
facilitate	488
fall	835
far	386
find	511
first	357
fishing	776
five	158
floor	839
footage	822
for	172_288_337_547_613
form	661
former	230_407
four	749
frailty	527
from	540_645
gas	463_778
genocide	489
germany	394
give	190
govern	261_545
government	48
group	254
guard	408
guilty	512
gujarat	182_205_273
hack	236
hanning	420_445_492
hardline	251
have	11_164_196_330_343_385_456_493_601_622_686_720_783_806
he	283_360_471_478_495_498_509_514_524_633_680_705_710
hear	210
hell	856
hilary	630
hill	440_530
hindu	252
hit	851
house	64_649
household	132
iaaf	551_596
if	508_599
illness	862
impact	773
in	24_101_105_170_175_178_183_324_393_402_414_567_610_662_813_818
include	225_852
india	163_217_265
injustice	500
institution	741
insult	690
internal	14
international	723
investigate	299
involve	739
involvement	174
it	506_579_587_635
its	54_399_591
jane	439_529
jewish	447
jo	310
journal	37
kill	472
killing	329
know	130
labor	308
landler	68
last	573
latinos	693
launch	721
lawyer	476
leader	248
least	792
lee	832
level	136
liberal	711
life	169
listen	535
little	290
loaf	805_825
local	247_373
machine	484
major	671
majumder	195
make	675
maker	84
man	374
mark	67
may	455
measure	755
meat	804_824
meet	321_446_553
member	231
memo	15_26
mexicans	691
michael	831
mid-level	73
military	44
mineral	780
minister	269_275
mission	724
modi	271
more	1
moscow	585
motive	301
mp	309
mr.	491_702
ms.	362
murder	304_434
music	842
musician	803
muslims	223_695
name	133_829
narendra	270
nationalist	253
nationwide	333
nazi	415_483
nearby	377
need	669
new	30_60
news	539_865
next	338
nine	222
no	468
nomination	620
north	732_745
not	127_668_685
nothing	503
november	574
obama	20
occupied	416
ocean	734_758_787
of	49_181_203_232_249_278_305_405_428_435_459_481_523_580_653_659_679_729_790_795_816_855
official	7_137
often	285
old	372
olympics	566
on	91_113_148_152_317_709_784_808_844
one	202_789
opposition	307
or	134
other	86_187
out	854
over	155
parliament	233
part	480
party	263_617_672_717
past	157
people	88_98_110_143_167_437
pjp	262
planet	797
play	843
poland	417
police	297
policy	23_83_154
political	388
politician	228
precedent	55
president	50_688
presidential	619
presumptive	628
prevent	292
prime	268
prison	171_520
prisoner	448
program	593
project	116_738
prominent	227
promise	623
prosecutor	443
racism	654
real	828
really	146
recently	859
referendum	342
region	794
reinhold	419
related	115
remain	367
report	9_381_441_577
reporting	531
republican	641
research	740
researcher	765
review	726
right	387
rio	565
riot	177_207_280
rock	848
runner-up	609
russia	570
russian	560
sanders	606_703
sanjoy	194
saturday	347
say	38_351_477_494_586_634_766
scientist	719
sea	775
secret	728
see	27_499
senior	135
sentence	165_244_521
serve	518
set	214
seven-year	191
several	204
sexism	656
sharply	17
she	320_322
shock	334
shoot	314
should	42
shout	354
show	823_858
sign	12
singer	801
sixty	221
slowly	836
so	124
some	458
special	212
spend	748
sponsor	582
stab	316
staff	87
stage	809
star	849
state	5_74_121_180_581
states	41
stop	53_505_639
street	36
such	487
supporter	706
supreme	218
suspect	384
suspend	345_572
sympathy	389
syria	93_114_153
syria.the	25
take	43
term	192
than	2
that	89_382_470_760
the	19_29_34_39_47_59_92_102_120_142_149_156_179_197_258_276_279_293_300_303_306_328_352_366_383_403_410_433_462_482_537_541_544_550_564_595_608_611_614_627_640_647_677_715_727_730_736_756_785_791_796_799_814_838_841_846
there	379_466
these	78_140
they	70_96_108_125_173_450_460_767
this	200
those	243
thursday	318
tie	256
time	277
times	32_62
to	10_52_168_239_257_291_397_432_461_504_517_536_555_558_562_624_638_707_713_725_770_837_861
today	401_554
transform	714
trench	150
trial	404
trump	644
twelve	186
understand	771_793
united	40
unknown	752
unlikely	516
until	346
up	215_590
urge	704
us	4_615
verdict	400
video	821
violation	57
violence	294
vital	637
wall	35
want	769
we	663_666_683
week	339
west	325
what	772
whether	557
white	63_648
who	99_111_144_312_364_422_674_689
whose	827_850
will	552_597_747
win	646
with	255_626
woman	697
work	90_100_112_151_625
world	538_548_762
year	159_750
york	31_61
yorkshire	326
you	129_533
