!	330
''	58_152_313_482
's	105_155_168_377
,	11_123_127_159_206_256_267_284_307_335_443_460_475_486_497
.	32_43_59_74_88_97_117_129_153_171_176_180_184_190_197_212_221_229_245_251_263_273_281_296_314_324_342_353_375_400_423_437_457_483_505
1960	262_397
1964	283
1974	459
74	40
?	363
``	49_136_308_476
a	50_94_111_139_238_243_253_265_309_434_490
after	292
again	485
against	410_499
age	38
ali	10_48_62_87_104_164_220_361_376_424_461_487
alienate	392
all	21_474
almost	278
also	82
amateur	254
america	399
and	23_67_75_107_191_240_246_349_450
announce	344
anything	321
arizona	42
around	5
as	252_264
association	379
at	36
back	157
bbc	167
be	2_3_16_34_56_70_119_138_178_182_186_199_203_208_258_277_341_358_365_441_445_488_495
bear	120_312
beat	148_289
because	201
become	269_286_332
bee	244
belief	402
best	18
better	71
big	310
bigger	502
bill	80
black	146_382_414
boxer	19_255
boxing	137_315_470
but	274
butterfly	239
by	13_371_419
call	46_299_359
cassius	121_336
cease	339
champion	28_189_205_211_260_272_288_334
change	350
christian	415
clay	122_285_337
clinton	81
close	378
conscientious	435
consider	12
conversion	346
courage	106
declare	432
determination	108
die	35
do	249
each	149
enduring	112
establishment	442
famous	469
fear	302
fight	53_224_226_427_489
fighter	303
five	453
float	236
for	54_72_114_394_465
foreman	504
former	77
george	503
give	368
have	92_316_331
he	33_60_118_130_133_172_177_181_228_230_234_248_257_268_297_326_343_345_351_393_401_409_439_444_448
hear	318
heavyweight	27_271
himself	433
hospital	329
huge	95
i	185_194_202_207_370
in	41_125_261_282_304_327_398_403_428_455_458_479
indisputable	270
influence	386
insist	356
inspiration	113
integrationist	416
islam	348
it	73_250_323
jail	456
joe	169
jr.	124
jungle	481
kentucky	128
kenyan	99
kenyatta	102
king	422
lead	373
let	154
life	161
like	218_227_237_242_322_389
liston	291
loss	96
lot	140
louisville	126
luther	421
make	193
malcolm	390
man	51_143_147
many	14_492
martin	420
match	471
mohammad	9_47_86_163_219_360
most	301_468
movement	417
much	175_395
muslims	383
my	372
name	352_367
never	279_317
no	213_222
nor	319
not	357
now	158_362_438
obama	45
objector	436
of	20_29_39_132_141_162_294_387_396_405_412_447_472
olympic	259
once	484
one	214_223
opponent	440_491
other	150
own	134
pay	4_83
people	388
perceive	493
perhaps	466
president	44_79_100
pretend	183
professional	266
progress	276
put	325
race	407
real	210
refuse	425
remain	110
right	57
rumble	478
say	61_103_131
see	320
sentence	451
separation	404
set	408
shake	63
smooth	280
sonny	290
spearhead	418
sport	90_135
sting	241
strip	446
suffer	93
supporter	411
talk	215_217
taunt	295
teacher	374
tell	231
that	364
the	6_17_26_30_37_65_68_76_89_98_115_160_166_187_195_204_209_216_225_232_275_300_305_328_366_381_385_406_413_429_467_477_480_500
then	247_338
they	192_198_473
three	24
throw	156
time	22_25
title	449
to	8_15_85_340_347_369_426_452_463_494
too	174
touch	173
travel	462
tribute	1_84
true	188
two	145
ugly	179_311
uhuru	101
undefeatable	496
under	384
underdog	196
universe	91
up	64_151_498
us	78
vietnam	430
war	431
watch	144
week	293
what	55
white	142
who	52
why	354
wilson	170
with	165_380
world	7_31_66_69_116_233_287_306_333
would	109_235_298
wrong	200
x	391
year	454
you	355
younger	501
zaire	464
