's	215_388_423_532_569_596_834
,	36_39_54_66_77_83_122_231_291_342_419_437_452_478_488_551_708_733_752_764
.	26_63_71_100_118_137_153_176_197_220_259_294_306_326_362_385_393_426_448_467_496_502_527_567_593_625_648_675_691_718_741_745_780_816_836_839
14	75
17	513
3000	725
400	445
a	20_90_289_406_415_440_512_599_626_667_794_827
about	9_360_584
accord	230
acquire	110
additional	271
advance	293
advise	149
affect	723
after	128_519_601
against	238_350
agreement	608
airstrike	184_237
allow	355_639
along	414
also	490
alter	147
america	387
american	308
and	34_80_168_270_340_354_438_483_561_685_809
andes	487
andrew	716
angry	542
announce	711
another	552_562
anti-drug	454
aother	462
app	821
area	95_167
argue	678
arrest	511
as	480_769_822
ask	358
at	209_221_549
atomosphere	682
audit	341
augmented	738
authority	4_337_504
avoid	163
back	605
ban	700
bbc	501_837
be	40_57_68_73_103_106_126_159_300_347_377_403_431_470_525_559_580_621_698_720
because	543
become	541
believe	376
between	799
billionare	309
birth	61
blackmail	581
body	521
bolivian	364_395_453
boy	515_531
buffet	312
businessman	310
but	123_343_489_676_781
by	114_131_623_712_790
campus	647_653_664
can	330
candace	390
candidate	318
cargo	407
carlos	398
carry	182_207_643_654
cdc	38
center	142
centers	30
challenge	314
chancellor	571
change	560
character	775
charge	518
child	763_835
chile	422
citizen	589_767
city	44_136_194_507_788_833
coca	476
cocaine	373_460_495
come	598_630
comment	597
complete	339
conceal	661
conduct	235
consigment	463
continue	275
contract	85
control	33_49_145
controversial	627
cook	202
could	665_686_803
country	214_469
create	680
creature	808
critic	677
cuomo	717
currently	727
curtain	556
day	600
decisive	290
defeat	251
defect	62
deputy	570
describe	819
despite	50
destine	378_432
detect	127
directive	710
disease	32_112_144
district	21
disturbing	795
do	332
dollar	447
donald	319
download	737
downtown	98
drug	402
earlier	449_749
editor	389
effect	632
effort	47
eight	119_457
enable	284
end	668
enter	564
estimate	441
eu	592_611
europe	575
expect	721
expert	27
expression	690
fear	684
financial	336
find	456_526_804
first	108
florida	25
flow	615
