%	474_635
's	67_160_215_469_595_696
,	6_12_18_29_57_74_134_209_217_277_285_390_392_451_482_510_525_570_589_662
.	36_50_60_83_100_112_117_128_150_177_192_198_222_245_253_265_295_321_338_358_377_398_404_435_461_497_516_522_544_559_576_608_630_651_681_708_733_744_747
1991	661
2009	496
2012	452
2014	191
25	649
27	634
40,000	362
6.7	473
a	2_105_115_139_158_199_206_269_405_416_529_551_705_724
abe	383
aborigine	626_678
aborigines	631
accuse	182
adam	445
after	703
aftershock	376
against	419
agency	227
ahead	434
all	534
allegation	197
alonso	687_734
also	76
analyst	515
and	15_32_75_170_266_317_353_393_439_511_528_572_587
anxious	313
apartment	350
appoint	667
as	23_25_148_281_283
at	322
attempt	200
australia	617
australian	728
back	90
ballistic	243
bank	28
barrier	725
base	288
bbc	403_745
be	95_98_103_114_181_194_248_312_326_356_371_442_501_512_547_579_599_612_640_643_653_666_689_737
before	42_188_721
beijing	466_521
bernie	16
biggest	739
birthday	211
brazil	155
brooklyn-born	62
budget	186
building	351
but	301_369_498
buy	457
by	201_458_472_514
byrant	59
call	104_669
can	432
car	717
career	743
case	418
child	438
china	468_594
chinese	506_545_697
city	53
claim	93_593
clash	20
clear	690
clinton	14_119
coal	571
coast	235
collapse	352
come	39_343
commission	668
company	526
congress	169
connecticut	412
consumption	588
contender	11
contest	127
control	31
cooling	530
could	136
country	214
court	153_417
crash	740
crisis	494
critic	592
crush	707
cut	622
damage	357
day	41
debate	5_38
debt	527
december	450
delegate-rich	43
democratic	9
deny	195
depth	490
despite	374
dilma	175
disruption	558
diverse	24
do	137_619
double	645
down	554
drive	692
driver	685
during	726
earthquake	331
east	234
economy	470_543
eight	126
election	189
eun	311
evens	247
event	250
expansion	487_584
fail	221_300
far	282
feisty	3
fernando	686
figure	187_463_500_641
financial	493
fire	448
firefighter	391
first	116_477
five	40
flip	718
for	69_77_395_670
forecast	513
former	85
formula	683
founder	216
four	701
fractured	712
frequent	375
from	51_344_401_520_659
front-runner	133
gdp	597
go	433_627
government	159_386_507_578_615_665
gradual	552
ground	261_698_729
group	611
grow	471
growth	508_598
guam	284
gun	30
have	19_102_120_156_180_220_228_239_257_268_364_387_413_688
he	65_92_459_715_742
heavy	574
hillary	13_118
hit	89
hold	47
home	368
hook	429
hope	582
house	355
housing	532
human	609
i	101_684
ii-sung	219
impeach	173
improve	674
in	1_109_141_154_166_190_251_262_292_328_407_426_449_465_475_495_502_585_654_663_679_693
indicate	303_307
industry	575
intermediate	241_254
into	723
involve	240_561
iraq	72
island	291
issue	22
it	302_305
its	48_581
jail	680
japan	335
japanese	379
judge	406
judgement	68
jung	310
just	700
kill	327_443
kim	218_309
korea	203_225_264
lanza	446
largest	542
last	125_731
latest	462
launch	205_231
least	323
leave	366
life	111
line	503
local	531
longer	270_316_318
lose	121
lot	106
lower	601
lowest	484
make	632
manage	550
manufacturer	421
manuveur	258
many	354
market	533
mashiki	348
massage	184
maybe	280
mcdonald	518
mclaurin	716
million	563
minimal	556
minimum	34
minister	381
missile	207_244_256_276_320
mobilize	388
monitor	249
month	732
more	360_620
most	339
mother	460
mrs.	178
much	600
my	110
national	168
nationwide	359
nearly	644
new	44_55
news	226_400_746
nick	58
nine	324
north	202_238_263
now	372
number	624
of	54_87_107_123_183_212_232_236_340_347_411_422_479_486_491_564_567_616_625_636_646_656_677_741
official	604
on	21_259_289_336_538_583
open	447
operation	397
or	304
other	573
out	566
over	91_523_719
pacific	294
past	648
people	325_363
pin	580
plight	676
police	389
policymaker	546
population	639
pray	699_730
present	638
president	99_174
presidential	10
previous	275
primary	49
prime	380
prison	629
production	524
publish	464
quarter	478
question	64
range	242_255_272_279_319
ranger	271
rate	485
real	596
reform	672
reject	157
report	229_519_658
request	161
rescue	396
return	373
rib	713
rifle	456
rights	610
rival	66
rousseff	176_179
rule	414
sanders	17
sandy	428
say	384_735
school	430_437
second	541
secretary	86
seem	298
semi-automatic	455
senator	63_149
seoul	252
serve	147
service	586
seven	122
she	78_94_135_144_193
shift	562
shinzo	382
shooting	431
show	467
since	488
six	440
slam	722
slow	553
social	557
some	370_591
south	224
southern	334
spaniard	710
spectacular	706
spite	655
state	46_88_143_410
statistics	605
steel	569
steven	246_517
still	130
street	27_82
strike	333
strong	132_330
suggest	607
support	70
supreme	152
survive	704
suspend	163
sustain	711
sweeping	671
take	535
target	509
teacher	441
televised	4
test	297_315
than	273_361_602
that	113_308_415_642
the	7_33_37_52_61_71_84_124_131_142_151_164_167_185_196_210_213_223_230_233_237_260_274_286_290_293_296_329_341_345_378_385_402_408_420_423_427_454_476_480_483_489_492_499_505_539_568_577_603_614_623_637_647_657_660_675_682_709_727_738
these	267
they	278_367_536
thing	108
this	560_652_694_736
though	129
thursday	337
tie	79
to	97_146_162_172_204_299_314_365_549_618_621_628_673_691
toll	537
tomorrow	208
town	346
troops	394
try	548
twenty	436
twice	720
u.s.	8
unqualified	96
up	633
urge	613
us	287_409
use	145_425
victim	342
victory	140
vote	165
wage	35
wall	26_81
war	73
weapon	424
week	695_702
when	444_714
where	349
whether	171
which	332_664
with	80_138_453_504_555
worker	565
world	399_540
would	306_606
year	481_650
yet	590
york	45_56
